Species,Obs,light_umol,Photo,Cond,Ci,Trmmol
bol,91,50,1.532358617,0.030013142,309.8048596,0.184547817
piper_pap,1,50,-0.083352969,0.064704127,398.6241899,0.403635101
piper_pap,2,50,0.483353905,0.064760347,383.0821759,0.403069968
piper_pap,3,50,0.44712773,0.062399936,383.7007025,0.390762864
piper_pap,4,50,0.414431895,0.060440444,384.3876151,0.3767749
piper_pap,5,50,0.43304778,0.057510859,383.413582,0.358449772
piper_pap,6,50,0.426809961,0.055036566,383.0856268,0.346539807
piper_pap,7,50,0.424055458,0.052085459,382.5098578,0.329952903
piper_pap,8,50,0.437914311,0.050202748,381.6611835,0.319933179
piper_pap,9,50,0.477039875,0.048615689,379.9476209,0.311782527
piper_pap,10,50,0.363034279,0.046312937,383.1663796,0.299063616
piper_pap,11,50,0.401562766,0.044505011,381.2715442,0.290155368
piper_pap,12,50,0.375149605,0.043017351,381.7577337,0.280707007
piper_pap,13,50,0.393451302,0.040330063,379.9580539,0.26634911
piper_pap,14,50,0.404564452,0.038477412,378.7144102,0.253882223
piper_pap,15,50,0.380635744,0.036869348,379.0464016,0.243120897
piper_pap,16,50,0.359436015,0.03592394,379.5823264,0.237946575
piper_pap,17,50,0.373345534,0.035023125,378.450073,0.232295437
piper_pap,18,50,0.34126621,0.033245525,379.1161176,0.221971597
piper_pap,19,50,0.391559309,0.032425663,376.1382587,0.216633372
piper_pap,20,50,0.334673183,0.031153918,378.3346356,0.208782429
piper_pap,21,50,0.336517553,0.029697349,377.3839552,0.197587685
piper_pap,22,50,0.295832001,0.028644879,379.0040528,0.190099518
piper_pap,23,50,0.369453638,0.027604581,374.0095458,0.182871603
piper_pap,24,50,0.360030778,0.027688106,374.5870515,0.183074995
piper_pap,25,50,0.389513523,0.027412768,372.6235511,0.181660954
piper_pap,26,50,0.362482711,0.02733843,374.1743968,0.180572912
piper_pap,27,50,0.407697489,0.027015929,371.1591845,0.178286984
piper_pap,28,50,0.334121968,0.026047833,374.8583528,0.171556557
piper_pap,29,50,0.376672468,0.025253059,371.4690425,0.165177047
piper_pap,30,50,0.359091552,0.022565272,370.0207654,0.146126759
piper_pap,31,50,0.405277791,0.019249472,361.8063177,0.12399141
piper_pap,32,50,0.370430073,0.017791681,362.3375647,0.112314723
piper_pap,33,50,0.400806775,0.016407095,356.574062,0.10249768
piper_pap,34,50,0.347507995,0.016455444,361.8838686,0.101020952
piper_pap,35,50,0.333027089,0.016442249,363.2455106,0.099945389
piper_pap,36,50,0.389348101,0.01693099,358.797499,0.102033869
piper_pap,37,50,0.409742547,0.017694414,358.5736139,0.10666484
piper_pap,38,50,0.418036163,0.018147248,358.7128493,0.108597523
piper_pap,39,50,0.427873524,0.018605073,358.7519373,0.111320263
piper_pap,40,50,0.366310636,0.018634625,364.2049296,0.111513503
piper_pap,41,50,0.4023684,0.017288708,358.3142048,0.103293245
piper_pap,42,50,0.446991977,0.017742091,355.2191967,0.105423637
piper_pap,43,50,0.395943884,0.017438205,359.1761113,0.103289662
piper_pap,44,50,0.33428484,0.017643016,365.2676372,0.10450907
piper_pap,45,50,0.385890704,0.016904266,358.9532486,0.099662124
piper_pap,46,50,0.387949043,0.017829063,360.6071841,0.104961604
piper_pap,47,50,1.38827087,0.017842312,268.7700155,0.107830402
piper_pap,48,50,1.641868091,0.018661686,252.0105375,0.112198572
piper_pap,49,50,1.678347823,0.020073569,258.8364291,0.121415184
piper_pap,50,50,1.72984707,0.019147665,247.9181532,0.116278337
piper_pap,51,50,-3.425913179,0.01708873,717.114853,0.102633118
piper_pap,52,50,1.879894854,0.019708884,240.5382875,0.118595657
piper_pap,53,50,1.857466626,0.020658385,249.1312593,0.123944818
piper_pap,54,50,1.992377445,0.02239341,250.3399115,0.133271201
piper_pap,55,50,2.034435532,0.023437362,253.6391808,0.138455074
piper_pap,56,50,2.11330467,0.026618798,265.3244444,0.156470784
piper_pap,57,50,2.151508627,0.027708951,267.921315,0.162958522
piper_pap,58,50,2.198131212,0.029085761,271.0814237,0.168877322
piper_pap,59,50,2.320290618,0.029854711,267.4532111,0.171535516
piper_pap,60,50,2.297308188,0.030828252,272.5476726,0.173663973
piper_pap,61,50,2.353980343,0.031890973,273.5920172,0.17585159
piper_pap,62,50,2.3892424,0.035220771,283.0379914,0.192109406
piper_pap,63,50,2.453315933,0.03879613,290.2035747,0.208321855
piper_pap,64,50,2.456521806,0.04279223,299.4677934,0.226791858
piper_pap,65,50,2.477897212,0.045305653,303.743676,0.238040066
piper_pap,66,50,2.469826367,0.047374869,307.7812819,0.247628674
piper_pap,67,50,2.552452245,0.050013487,309.4237132,0.260049964
piper_pap,68,50,2.537084065,0.053948569,315.8111154,0.280271934
piper_pap,69,50,2.586058878,0.058239115,319.8582607,0.302715671
piper_pap,70,50,2.658715439,0.058995306,318.9158021,0.308516852
piper_pap,71,50,2.584941144,0.061184779,323.4972555,0.319499131
piper_pap,72,50,2.55875126,0.064252137,327.3465798,0.333640198
piper_pap,73,50,2.559050969,0.067260398,330.1555144,0.35157528
piper_pap,74,50,2.588963868,0.06734975,329.4729757,0.350429087
piper_pap,75,50,2.617794349,0.066025183,327.4901659,0.339462067
piper_pap,76,50,2.651480004,0.067758559,328.2419177,0.347550697
piper_pap,77,50,2.63362175,0.069532584,330.3087316,0.35538482
piper_pap,78,50,2.62841166,0.068686718,329.6238584,0.350020671
piper_pap,79,50,2.638332345,0.06808288,328.8061925,0.3436753
piper_pap,80,50,2.675647671,0.070939523,330.4173362,0.355891697
piper_pap,81,50,2.614489261,0.072514329,333.0531497,0.362321886
piper_pap,82,50,2.707742416,0.072119862,330.5234154,0.361108123
piper_pap,83,50,2.682515082,0.069460285,328.776156,0.349173227
piper_pap,84,50,2.674757911,0.067963274,327.6148138,0.340788746
piper_pap,85,50,2.684086545,0.067136939,326.5774863,0.33540251
piper_pap,86,50,2.715178983,0.065720321,324.3648284,0.325118025
piper_pap,87,50,2.628264333,0.067321428,328.1347135,0.333639229
piper_pap,88,50,2.660833528,0.066555881,326.614809,0.329636219
piper_pap,89,50,2.682618711,0.063939301,323.3991015,0.315314148
piper_pap,90,50,2.679390723,0.063460115,322.9944259,0.311273003
piper_pap,91,50,2.635963984,0.063095535,323.6855002,0.306724802
piper_pap,92,50,2.652079388,0.062280719,322.3777408,0.302871341
piper_pap,93,50,2.679041659,0.06185138,321.095733,0.299437531
piper_pap,94,50,2.68872028,0.061240398,320.0810139,0.295270675
piper_pap,95,50,2.637171784,0.059480161,319.4490587,0.28623029
piper_pap,96,50,2.685401347,0.059732136,318.3605649,0.286846756
piper_pap,97,50,2.643289121,0.058444035,318.0326618,0.280171636
piper_pap,98,50,2.679498272,0.060652793,319.5883366,0.289462404
piper_pap,99,50,2.628119426,0.058229487,318.1028619,0.276240976
piper_pap,100,50,2.67582545,0.056541596,314.5263061,0.266908411
piper_pap,101,50,2.654025576,0.057238369,316.1011862,0.270093017
piper_pap,102,50,2.662277506,0.056437768,314.8204786,0.266037256
piper_pap,103,50,2.669434468,0.053924273,311.0659367,0.254310816
piper_pap,104,50,2.69188555,0.053274884,309.4314685,0.24755201
piper_pap,105,50,2.738623823,0.050046602,302.6710978,0.230974565
piper_pap,106,50,2.691550089,0.049807195,303.8184001,0.22861151
sel_anc,1,50,0.589862411,0.087526875,385.3711062,0.33959612
sel_anc,2,50,0.350712854,0.084218064,390.0813158,0.326726246
sel_anc,3,50,0.336380509,0.087251347,390.5059153,0.340338463
sel_anc,4,50,0.387979284,0.079258538,388.7698721,0.311300725
sel_anc,5,50,0.394014507,0.077548457,388.4985236,0.304489031
sel_anc,6,50,0.398499298,0.073884931,388.1207953,0.291375277
